cuda
Epoch 1, Loss: 1.3138031730993562
Epoch 2, Loss: 0.8171812800958836
Epoch 3, Loss: 0.5952336916761611
Epoch 4, Loss: 0.45590735450467795
Epoch 5, Loss: 0.3596002077783116
Epoch 6, Loss: 0.2929706242233084
Epoch 7, Loss: 0.24745723567948488
Epoch 8, Loss: 0.21233558604760022
Epoch 9, Loss: 0.1887402808744465
Epoch 10, Loss: 0.17552475639568943
Epoch 11, Loss: 0.15842682811084507
Epoch 12, Loss: 0.14609797849912703
Epoch 13, Loss: 0.1406701745442422
Epoch 14, Loss: 0.13092291656714597
Epoch 15, Loss: 0.12349803752632012
Epoch 16, Loss: 0.11555342462540022
Epoch 17, Loss: 0.11104339924567944
Epoch 18, Loss: 0.11303159248963478
